,District,Borough,Building ID,School,Project #,Description,FY,Total
187,24,Queens,Q119,I.S. 119,DSF0000902239,State of Good Repair - System Replacements - Exterior Masonry,2021,7069471
188,24,Queens,Q119,I.S. 119,DSF0000902234,State of Good Repair - Building Upgrade - Flood Elimination,2021,1254409
189,24,Queens,Q119,I.S. 119,DSF0000902238,State of Good Repair - System Replacements - Windows,2021,6398246
190,24,Queens,Q143,P.S. 143,DSF0000902669,State of Good Repair - Building Upgrade - Flood Elimination,2022,1417845
191,24,Queens,Q143,P.S. 143,DSF0000902671,State of Good Repair - System Replacements - Parapets,2022,3962492
192,24,Queens,Q143,P.S. 143,DSF0000902670,State of Good Repair - System Replacements - Roofs,2022,2970813
193,24,Queens,Q269,P.S./I.S. 269,DSF0000912111,State of Good Repair - System Replacements - Electrical Systems,2020,180000
194,25,Queens,Q020,P.S. 20,DSF0000912090,State of Good Repair - System Replacements - Electrical Systems,2020,190000
195,25,Queens,Q107,P.S. 107,DSF0000902054,State of Good Repair - System Replacements - Exterior Masonry,2022,8186862
196,25,Queens,Q107,P.S. 107,DSF0000902053,State of Good Repair - System Replacements - Parapets,2022,4182631
197,25,Queens,Q107,P.S. 107,DSF0000902050,State of Good Repair - Building Upgrade - Flood Elimination,2022,1560153
198,25,Queens,Q107,P.S. 107,DSF0000902052,State of Good Repair - System Replacements - Roofs,2022,1697607
199,26,Queens,Q041,P.S. 41 ADDITION,DSF0000798524,State of Good Repair - System Replacements - Domestic Piping,2020,796187
200,26,Queens,Q046,P.S. 46 ADDITION,DSF0000798471,State of Good Repair - Building Upgrade - Boiler Conversion,2023,4854453
201,26,Queens,Q046,P.S. 46 ADDITION,DSF0000788342,State of Good Repair - Building Upgrade - Climate Control,2023,2052743
202,26,Queens,Q094,P.S. 94,DSF0000798538,State of Good Repair - System Replacements - Domestic Piping,2020,878302
203,26,Queens,Q172,J.H.S. 172,DSF0000903138,State of Good Repair - System Replacements - Exterior Masonry,2022,4941917
204,26,Queens,Q172,J.H.S. 172,DSF0000903137,State of Good Repair - System Replacements - Parapets,2022,3661059
205,26,Queens,Q172,J.H.S. 172,DSF0000903136,State of Good Repair - System Replacements - Roofs,2022,3367915
206,26,Queens,Q186,P.S. 186,DSF0000911933,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,500000
207,27,Queens,Q090,P.S. 90,DSF0000912097,State of Good Repair - System Replacements - Electrical Systems,2020,140000
208,27,Queens,Q097,P.S. 97,DSF0000912099,State of Good Repair - System Replacements - Electrical Systems,2020,260000
209,27,Queens,Q123,P.S. 123,DSF0000912100,State of Good Repair - System Replacements - Electrical Systems,2020,180000
210,27,Queens,Q183,P.S. 183,DSF0000912107,State of Good Repair - System Replacements - Electrical Systems,2020,360000
211,27,Queens,Q198,I.S. 198,DSF0000903525,State of Good Repair - System Replacements - Exterior Masonry,2021,3882830
212,27,Queens,Q198,I.S. 198,DSF0000903523,State of Good Repair - System Replacements - Roofs,2021,3389274
213,27,Queens,Q210,I.S. 210,DSF0000912108,State of Good Repair - System Replacements - Electrical Systems,2020,193400
214,27,Queens,Q223,P.S. 223,DSF0000912109,State of Good Repair - System Replacements - Electrical Systems,2020,10000
215,28,Queens,Q040,P.S. 40,DSF0000912091,State of Good Repair - System Replacements - Electrical Systems,2020,140000
216,28,Queens,Q050,P.S. 50,DSF0000912092,State of Good Repair - System Replacements - Electrical Systems,2020,260000
217,28,Queens,Q054,P.S. 54,DSF0000912093,State of Good Repair - System Replacements - Electrical Systems,2020,210000
218,28,Queens,Q082,P.S. 82,DSF0000912096,State of Good Repair - System Replacements - Electrical Systems,2020,200000
219,28,Queens,Q144,P.S. 144,DSF0000902690,State of Good Repair - Building Upgrade - Flood Elimination,2022,961113
220,28,Queens,Q144,P.S. 144,DSF0000902694,State of Good Repair - System Replacements - Exterior Masonry,2022,6069570
221,28,Queens,Q144,P.S. 144,DSF0000902692,State of Good Repair - System Replacements - Parapets,2022,2421523
222,28,Queens,Q144,P.S. 144,DSF0000902691,State of Good Repair - System Replacements - Roofs,2022,1925723
223,28,Queens,Q144,P.S. 144,DSF0000902693,State of Good Repair - System Replacements - Windows,2022,7778027
224,28,Queens,Q160,P.S. 160,DSF0000912106,State of Good Repair - System Replacements - Electrical Systems,2020,270000
225,28,Queens,Q220,P.S. 220,DSF0000791172,State of Good Repair - System Replacements - Heating Plant Upgrade,2020,75200
226,28,Queens,Q278,PS 182 ANNEX,DSF0000912112,State of Good Repair - System Replacements - Electrical Systems,2020,120000
227,29,Queens,Q036,P.S. 36,DSF0000911945,State of Good Repair - System Replacements - Electrical Systems,2020,189311
228,30,Queens,Q070,P.S. 70,DSF0000912094,State of Good Repair - System Replacements - Electrical Systems,2020,193400
229,30,Queens,Q126,I.S. 126,DSF0000912101,State of Good Repair - System Replacements - Electrical Systems,2020,200000
230,30,Queens,Q127,P.S. 127,DSF0000912102,State of Good Repair - System Replacements - Electrical Systems,2020,360000
231,30,Queens,Q145,I.S. 145,DSF0000912103,State of Good Repair - System Replacements - Electrical Systems,2020,540000
232,30,Queens,Q148,P.S. 148,DSF0000912104,State of Good Repair - System Replacements - Electrical Systems,2020,260000
233,30,Queens,Q150,P.S. 150,DSF0000902816,State of Good Repair - System Replacements - Roofs,2020,2389992
234,30,Queens,Q150,P.S. 150,DSF0000902814,State of Good Repair - Building Upgrade - Flood Elimination,2020,1035092
235,30,Queens,Q150,P.S. 150,DSF0000902818,State of Good Repair - System Replacements - Exterior Masonry,2020,5977596
236,30,Queens,Q150,P.S. 150,DSF0000902817,State of Good Repair - System Replacements - Parapets,2020,3808346
237,30,Queens,Q152,P.S. 152,DSF0000912105,State of Good Repair - System Replacements - Electrical Systems,2020,440000
238,30,Queens,Q234,P.S. 234,DSF0000910496,State of Good Repair - System Replacements - Parapets,2022,2436003
239,30,Queens,Q234,P.S. 234,DSF0000910495,State of Good Repair - System Replacements - Roofs,2022,2323600
240,30,Queens,Q234,P.S. 234,DSF0000910497,State of Good Repair - System Replacements - Exterior Masonry,2022,3718541
241,31,Staten Island,R008,P.S. 8,DSF0000912236,State of Good Repair - System Replacements - Electrical Systems,2020,21980
242,31,Staten Island,R014,P.S. 14,DSF0000905096,State of Good Repair - System Replacements - Exterior Masonry,2021,3227708
